Details,Details,URL,Whisky
bottle.jsp?bid=17556&bottling=Caol+Ila+1993/2011+'Distillers+Edition',"Caol Ila 1993/2011 'Distillers Edition' (43%, OB, Moscatel finish)",http://www.whisky-monitor.com/bottle.jsp?bid=17556&bottling=Caol+Ila+1993/2011+'Distillers+Edition',Caol Ila 1993/2011 'Distillers Edition'
bottle.jsp?bid=17555&bottling=Caol+Ila+12yo,"Caol Ila 12yo (43%, OB, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17555&bottling=Caol+Ila+12yo,Caol Ila 12yo
bottle.jsp?bid=17553&bottling=Cardhu+'Amber+Rock',"Cardhu 'Amber Rock' (40%, OB, NAS, Toasted Bourbon Cask Finish, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17553&bottling=Cardhu+'Amber+Rock',Cardhu 'Amber Rock'
bottle.jsp?bid=17554&bottling=Cardhu+21yo+1991/2013,"Cardhu 21yo 1991/2013 (54.2%, OB, Special Release)",http://www.whisky-monitor.com/bottle.jsp?bid=17554&bottling=Cardhu+21yo+1991/2013,Cardhu 21yo 1991/2013
bottle.jsp?bid=17552&bottling=Cardhu+15yo,"Cardhu 15yo (40%, OB, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17552&bottling=Cardhu+15yo,Cardhu 15yo
bottle.jsp?bid=17551&bottling=Dalwhinnie+15yo,"Dalwhinnie 15yo (43%, OB, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17551&bottling=Dalwhinnie+15yo,Dalwhinnie 15yo
bottle.jsp?bid=17550&bottling=Singleton+of+Dufftown+'Sunray',"Singleton of Dufftown 'Sunray' (40%, OB, NAS, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17550&bottling=Singleton+of+Dufftown+'Sunray',Singleton of Dufftown 'Sunray'
bottle.jsp?bid=17549&bottling=Singleton+of+Glen+Ord+'Signature',"Singleton of Glen Ord 'Signature' (40%, OB, NAS, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17549&bottling=Singleton+of+Glen+Ord+'Signature',Singleton of Glen Ord 'Signature'
bottle.jsp?bid=17548&bottling=Singleton+of+Glen+Ord+15yo,"Singleton of Glen Ord 15yo (40%, OB, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17548&bottling=Singleton+of+Glen+Ord+15yo,Singleton of Glen Ord 15yo
bottle.jsp?bid=17547&bottling=Craigellachie+23yo,"Craigellachie 23yo (46%, OB, Batch 67.KA23, 2014*)",http://www.whisky-monitor.com/bottle.jsp?bid=17547&bottling=Craigellachie+23yo,Craigellachie 23yo
